index,id,title,date,tags,images
351,3aad6f94-3ef1-8033-9372-ecd0eea3cf8a,KKK Cross Burns at Mattituck,1939-08-07,US; The Americas; Western Antisemitism; KKK,images/0351-KKK-Cross-Burns-at-Mattituck-1.png
352,3aad6f94-3ef1-8060-bb22-e65c60835eed,Jews Flee Slovakie,1939-08-19,Czechoslovakia; Europe; Western Antisemitism; Ethnic Cleansing; Nazis/Fascists; Legal Restrictions against Jews,images/0352-Jews-Flee-Slovakie-1.png
353,3aad6f94-3ef1-8051-94f4-cac359a4d13a,Force in Palestine Decried at Geneva,1939-08-19,Israel/Palestine; Arab World; Islamic World; Terrorism; Intent in Israel/Palestine,images/0353-Force-in-Palestine-Decried-at-Geneva-1.png
354,3aad6f94-3ef1-8053-9761-f9474c2323fa,Jews in Bratislava Are Attacked By Mob,1939-08-12,Europe; Western Antisemitism; Holy Sites; Pogroms; Czechoslovakia,images/0354-Jews-in-Bratislava-Are-Attacked-By-Mob-1.png
355,3aad6f94-3ef1-8068-93c6-ff85f45ad7df,"British Give £235,000 to Palestine Project",1939-08-18,Israel/Palestine; Jewish contributions/activism; Sources of Funding; Intent in Israel/Palestine; Land purchases in Israel/Palestine,images/0355-British-Give-235-000-to-Palestine-Project-1.png
356,3aad6f94-3ef1-8096-b53e-f26808ce9256,Blast Rocks Jerusalem,1939-08-14,Arab World; Islamic World; Israel/Palestine; Terrorism,images/0356-Blast-Rocks-Jerusalem-1.png
357,3aad6f94-3ef1-802e-8bdf-eab6bc1d7f0e,Kidnapped Pastor Here,1939-08-18,Israel/Palestine; Islamic World; Arab World; Terrorism; Christianity & Churches,images/0357-Kidnapped-Pastor-Here-1.png
358,3aad6f94-3ef1-8041-b88b-fac2764e7d99,Two Radio Aides Die in Palestine Blasts,1939-08-04,Israel/Palestine; Arab World; Islamic World; Targeting of Civilians,images/0358-Two-Radio-Aides-Die-in-Palestine-Blasts-1.png
359,3aad6f94-3ef1-8067-909f-c2b3aa754ad8,"6 Killed, 4 Wounded in Palestine Attacks",1939-08-10,Israel/Palestine; Arab World; Islamic World; Terrorism; Targeting of Civilians,images/0359-6-Killed-4-Wounded-in-Palestine-Attacks-1.png
360,3aad6f94-3ef1-805c-bb7d-d5b19376eefa,French Drop Plan for a Syrian King,1939-08-07,Hashemites; England/UK; France; Western Intervention; Syria; Jordan; Arab World; Islamic World,images/0360-French-Drop-Plan-for-a-Syrian-King-1.png
361,3aad6f94-3ef1-80a9-a722-e84e1a5575b5,American Wounded In a Palestine Bus,1939-08-03,Israel/Palestine; Arab World; Islamic World; Targeting of Children; Targeting of Civilians,images/0361-American-Wounded-In-a-Palestine-Bus-1.png
362,3aad6f94-3ef1-8064-85f1-f43a8ff322ce,Jewish Refugees at Shanghai,1938-08-22,Holocaust; China; Asia,images/0362-Jewish-Refugees-at-Shanghai-1.png
363,3aad6f94-3ef1-8099-9969-fa44ef7753f8,7 Slain in Palestine,1938-08-05,Israel/Palestine; Arab World; Islamic World; Targeting of Civilians,images/0363-7-Slain-in-Palestine-1.png
364,3aad6f94-3ef1-80b1-829d-f2ef48b228aa,Arabs Here offer a Palestine Plan,1938-08-07,Israel/Palestine; Arab World; Islamic World; Egypt; Iraq; Pan-Arabism; Intent in Israel/Palestine; England/UK; Western Intervention; Greater Syria; Syria,images/0364-Arabs-Here-offer-a-Palestine-Plan-1.png
365,3aad6f94-3ef1-80d7-9113-e537f1b69444,Jewish Civil War Held Zionist in Peril,1938-08-17,Israel/Palestine; Jabotinsky; Arab World; Islamic World; Terrorism; Targeting of Civilians,images/0365-Jewish-Civil-War-Held-Zionist-in-Peril-1.png
366,3aad6f94-3ef1-80d3-8ae2-d5d76dd2433f,Palestine Peace Seen as Distant,1938-08-12,Israel/Palestine; Arab World; Islamic World; Terrorism,images/0366-Palestine-Peace-Seen-as-Distant-1.png
367,3aad6f94-3ef1-8050-895e-d27fd1c3da66,Nazi Honor to Ford Stirs Cantor’s Ire,1938-08-04,US; The Americas; Nazis/Fascists; Western Antisemitism,images/0367-Nazi-Honor-to-Ford-Stirs-Cantor-s-Ire-1.png
368,3aad6f94-3ef1-80ed-8bf7-cc34bc1cd246,Dissension Injures Jews in Palestine,1938-08-11,Israel/Palestine; Intent in Israel/Palestine; Arab World; Islamic World; Targeting of Civilians,images/0368-Dissension-Injures-Jews-in-Palestine-1.png; images/0368-Dissension-Injures-Jews-in-Palestine-2.png
369,3aad6f94-3ef1-80fe-9b9f-e8d4cc85b5c7,Minor Outbreaks Go On in Palestine,1938-08-30,Israel/Palestine; Arab World; Islamic World; Targeting of Civilians; Pogroms,images/0369-Minor-Outbreaks-Go-On-in-Palestine-1.png
370,3aad6f94-3ef1-809f-83af-ff64b6fcebd2,Palestine Arabs Seize Police Head,1938-08-18,Israel/Palestine; Arab World; Islamic World; Terrorism; Targeting of Civilians; Targeting of Children,images/0370-Palestine-Arabs-Seize-Police-Head-1.png
371,3aad6f94-3ef1-805b-afe3-dfc52d5d7c20,Attack by Arabs Repulsed by Jews,1938-08-15,Israel/Palestine; Arab World; Islamic World; Targeting of Civilians,images/0371-Attack-by-Arabs-Repulsed-by-Jews-1.png
372,3aad6f94-3ef1-80ba-aad1-fce9775f0a09,Germany Tightens Pressure on Jews,1938-08-24,Germany; Nazis/Fascists; Europe; Western Antisemitism; Legal Restrictions against Jews; Theft of Jewish property,images/0372-Germany-Tightens-Pressure-on-Jews-1.png
373,3aad6f94-3ef1-80d0-a3e4-ff5888817d71,Synagogue is Raided by Nazis in Danzig,1938-08-31,Germany; Nazis/Fascists; Western Antisemitism; Theft of Jewish property; Holy Sites,
374,3aad6f94-3ef1-80a4-b4b1-c39bb9a40b31,Three Slain in Palestine,1938-08-14,Israel/Palestine; Arab World; Islamic World; Targeting of Civilians; Terrorism,images/0374-Three-Slain-in-Palestine-1.png
375,3aad6f94-3ef1-809a-9e6e-e26800cd3c46,Arab Stabs Police in Palestine Fray,1938-08-28,Israel/Palestine; Arab World; Islamic World; Terrorism; Nazis/Fascists; Targeting of Civilians,images/0375-Arab-Stabs-Police-in-Palestine-Fray-1.png
376,3aad6f94-3ef1-80bc-97f3-f0da12c227a2,Arab Chiefs Plan Winter Terrorism,1938-08-26,Terrorism; Israel/Palestine; Arab World; Islamic World,images/0376-Arab-Chiefs-Plan-Winter-Terrorism-1.png
377,3aad6f94-3ef1-8060-826b-f8e5744de3d0,Britain Criticized By Mandates Body,1938-08-23,Terrorism; Israel/Palestine; Arab World; Islamic World,images/0377-Britain-Criticized-By-Mandates-Body-1.png
